,region,year,policy,agg.land,hist_value,Protection,value
340,Australia_NZ,2050,CORE,desert,14.034923,100,0
341,Australia_NZ,2050,CORE,Forests (Harvested),636.5589141,100,-5.583292539
342,Australia_NZ,2050,CORE,Forests (Unmanaged),1909.071942,100,3.589216777
343,Australia_NZ,2050,CORE,Grassland,55676.84294,100,2.923365573
344,Australia_NZ,2050,CORE,Grazed Pasture,2600.801788,100,-26.98360295
345,Australia_NZ,2050,CORE,Shrubland,27572.01056,100,1.459839545
346,Australia_NZ,2050,CORE,urban,13.9596377,100,0
347,Brazil,2050,CORE,Biomass,189.866062,100,-19.51584301
348,Brazil,2050,CORE,Crops,10897.51472,100,-13.78480713
349,Brazil,2050,CORE,desert,7.61083,100,0
350,Brazil,2050,CORE,Forests (Harvested),1670.092971,100,-8.612686114
351,Brazil,2050,CORE,Forests (Unmanaged),46820.98514,100,2.083268428
352,Brazil,2050,CORE,Grassland,28731.91025,100,4.408609115
353,Brazil,2050,CORE,Grazed Pasture,5687.045962,100,-9.209458832
354,Brazil,2050,CORE,Shrubland,6756.593634,100,2.416941284
355,Brazil,2050,CORE,urban,32.59289,100,0
356,Canada,2050,CORE,Biomass,299.4386572,100,-52.11319255
357,Canada,2050,CORE,Crops,5903.445188,100,-12.43523684
358,Canada,2050,CORE,desert,2396.92824,100,0
359,Canada,2050,CORE,Forests (Harvested),2527.245777,100,-13.30922371
360,Canada,2050,CORE,Forests (Unmanaged),45898.0307,100,2.321424069
361,Canada,2050,CORE,Grassland,15009.87087,100,1.934899673
362,Canada,2050,CORE,Grazed Pasture,307.6020063,100,-8.382031013
363,Canada,2050,CORE,Shrubland,10567.22658,100,1.188592352
364,Canada,2050,CORE,urban,4.21832,100,0
365,Central America and Caribbean,2050,CORE,Biomass,36.76216781,100,-12.88476884
366,Central America and Caribbean,2050,CORE,Crops,1686.864404,100,-8.867790471
367,Central America and Caribbean,2050,CORE,Forests (Harvested),363.572111,100,-6.097978825
368,Central America and Caribbean,2050,CORE,Forests (Unmanaged),3430.734667,100,3.727065034
369,Central America and Caribbean,2050,CORE,Grassland,2316.086127,100,4.711409114
370,Central America and Caribbean,2050,CORE,Grazed Pasture,411.0713399,100,-9.938434026
371,Central America and Caribbean,2050,CORE,Shrubland,53.97057289,100,2.864263652
372,Central America and Caribbean,2050,CORE,urban,7.1515458,100,0
373,Central Asia,2050,CORE,Biomass,85.03496232,100,-23.6317834
374,Central Asia,2050,CORE,Crops,4432.862393,100,-16.66241829
375,Central Asia,2050,CORE,desert,312.4237211,100,0
376,Central Asia,2050,CORE,Forests (Harvested),84.44813373,100,-10.67852331
377,Central Asia,2050,CORE,Forests (Unmanaged),363.528349,100,2.668908029
378,Central Asia,2050,CORE,Grassland,50500.44651,100,1.961479954
379,Central Asia,2050,CORE,Grazed Pasture,862.9541039,100,-15.05099329
380,Central Asia,2050,CORE,Shrubland,7227.84614,100,0.781867631
381,Central Asia,2050,CORE,urban,9.639523,100,0
382,China,2050,CORE,Biomass,31.15726203,100,-20.90842717
383,China,2050,CORE,Crops,14954.39678,100,-5.683156268
384,China,2050,CORE,desert,1100.68271,100,0
385,China,2050,CORE,Forests (Harvested),3619.783824,100,-5.063154356
386,China,2050,CORE,Forests (Unmanaged),13229.73172,100,2.328727646
387,China,2050,CORE,Grassland,52385.83261,100,3.158145573
388,China,2050,CORE,Grazed Pasture,6450.981615,100,-14.66506151
389,China,2050,CORE,Shrubland,6919.137473,100,1.744951208
390,China,2050,CORE,urban,59.87252,100,0
391,Colombia,2050,CORE,Biomass,4.343355059,100,-73.85777835
392,Colombia,2050,CORE,Crops,436.2841601,100,-25.68223399
393,Colombia,2050,CORE,desert,5.425585,100,0
394,Colombia,2050,CORE,Forests (Harvested),87.724325,100,-22.5616639
395,Colombia,2050,CORE,Forests (Unmanaged),7011.885498,100,2.134235775
396,Colombia,2050,CORE,Grassland,5294.021602,100,4.753673716
397,Colombia,2050,CORE,Grazed Pasture,543.6413,100,-31.69134906
398,Colombia,2050,CORE,Shrubland,171.731998,100,2.480620227
399,Colombia,2050,CORE,urban,2.3182387,100,0
400,EU-12,2050,CORE,Biomass,175.7927582,100,-21.90921317
401,EU-12,2050,CORE,Crops,4389.585804,100,-4.68891257
